timestamps,TP9,AF7,AF8,TP10,Marker0
1594927526.144,-31.250,-12.207,-14.160,-39.551,0
1594927526.148,-28.809,-10.742,-18.066,-39.062,0
1594927526.152,-29.297,-11.719,-17.578,-32.227,0
1594927526.156,-29.297,-16.113,-23.926,-32.227,0
1594927526.159,-27.832,-18.066,-24.414,-36.133,0
1594927526.163,-31.250,-16.113,-18.066,-35.156,0
1594927526.167,-38.086,-20.020,-22.461,-34.668,0
1594927526.171,-39.062,-18.066,-25.391,-45.410,0
1594927526.175,-44.434,-18.555,-23.926,-47.852,0
1594927526.170,-50.293,-23.438,-21.484,-43.457,0
1594927526.174,-47.852,-26.367,-25.391,-48.828,0
1594927526.178,-51.270,-27.832,-29.785,-51.270,0
1594927526.182,-60.059,-28.809,-34.180,-57.129,0
1594927526.186,-48.340,-26.367,-33.691,-57.129,0
1594927526.190,-38.086,-26.855,-33.691,-52.246,0
1594927526.194,-37.598,-26.855,-32.715,-46.387,0
1594927526.197,-38.574,-21.973,-25.879,-41.504,0
1594927526.201,-41.016,-27.832,-35.156,-40.527,0
1594927526.205,-40.039,-29.297,-35.156,-42.969,0
1594927526.209,-43.945,-21.484,-26.367,-41.016,0
1594927526.213,-41.992,-19.531,-28.809,-32.715,0
1594927526.225,-32.715,-23.926,-25.879,-31.738,0
1594927526.229,-34.180,-26.367,-28.320,-37.598,0
1594927526.233,-46.387,-23.926,-30.762,-37.109,0
1594927526.237,-41.016,-24.414,-25.879,-35.645,0
1594927526.241,-32.715,-21.973,-22.461,-31.738,0
1594927526.245,-38.086,-18.066,-26.855,-29.785,0
1594927526.249,-35.645,-20.996,-30.273,-20.508,0
1594927526.252,-34.668,-20.508,-30.273,-19.531,0
1594927526.256,-35.156,-18.555,-29.785,-31.250,0
1594927526.260,-28.320,-14.160,-32.227,-38.574,0
1594927526.264,-30.762,-9.766,-33.203,-31.738,0
